system,target,n,cefr_exact_accuracy,cefr_adjacent_accuracy,cefr_rmse,cefr_weighted_f1,meaningbert_source,meaningbert_reference,source_exact_rate,mean_revisions
identity,ALL,200,0.265,0.725,1.3266499161421599,0.3058076225045372,94.46121520996094,81.45191544532776,1.0,0.0
identity,A2,100,0.08,0.53,1.6522711641858305,0.14814814814814814,94.46121520996094,78.05769693374634,1.0,0.0
identity,B1,100,0.45,0.92,0.8888194417315589,0.6206896551724138,94.46121520996094,84.84613395690918,1.0,0.0
human_reference_oracle,ALL,200,0.625,1.0,0.6123724356957945,0.6464867753139193,80.83811574935913,94.4064319229126,0.0,0.0
human_reference_oracle,A2,100,0.64,1.0,0.6,0.7804878048780488,77.11826850891113,94.51179557800293,0.0,0.0
human_reference_oracle,B1,100,0.61,1.0,0.6244997998398398,0.7577639751552795,84.55796298980712,94.30106826782226,0.0,0.0
open_model_zero_shot,ALL,200,0.165,0.61,1.5264337522473748,0.2403215223097113,82.74522666931152,76.2836873626709,0.0,0.0
open_model_zero_shot,A2,100,0.12,0.35,1.865475810617763,0.21428571428571427,83.08228435516358,72.40555606842041,0.0,0.0
open_model_zero_shot,B1,100,0.21,0.87,1.0862780491200215,0.34710743801652894,82.40816898345948,80.16181865692138,0.0,0.0
open_model_three_shot,ALL,200,0.2,0.65,1.4439529078193651,0.2599928348431343,84.93425181388855,76.48147930145264,0.025,0.0
open_model_three_shot,A2,100,0.08,0.43,1.760681686165901,0.14814814814814814,84.03360727310181,73.1320323562622,0.03,0.0
open_model_three_shot,B1,100,0.32,0.87,1.03440804327886,0.48484848484848486,85.8348963546753,79.83092624664306,0.02,0.0
open_model_self_refine,ALL,200,0.175,0.61,1.5149257407543117,0.2568391608391608,82.83834877014161,76.39917825698852,0.0,1.035
open_model_self_refine,A2,100,0.12,0.32,1.876166303929372,0.21428571428571427,82.70797206878662,72.4996463394165,0.0,0.65
open_model_self_refine,B1,100,0.23,0.9,1.03440804327886,0.37398373983739835,82.96872547149658,80.29871017456054,0.0,1.42
