system_a,system_b,metric,positive_favors,n,difference,ci_low,ci_high,seed,samples
human_reference_oracle,identity,exact_match,human_reference_oracle,200,0.36,0.265,0.45,6120,2000
human_reference_oracle,identity,meaningbert_source,human_reference_oracle,200,-13.623099460601807,-14.995677242279053,-12.257839546203613,6120,2000
human_reference_oracle,identity,meaningbert_reference,human_reference_oracle,200,12.95451647758484,11.638972244262696,14.441493978500366,6120,2000
human_reference_oracle,identity,squared_ordinal_error,human_reference_oracle,200,1.385,1.105,1.66,6120,2000
human_reference_oracle,open_model_self_refine,exact_match,human_reference_oracle,200,0.45,0.365,0.53,6120,2000
human_reference_oracle,open_model_self_refine,meaningbert_source,human_reference_oracle,200,-2.0002330207824706,-3.598418312072754,-0.4522575378417969,6120,2000
human_reference_oracle,open_model_self_refine,meaningbert_reference,human_reference_oracle,200,18.007253665924072,16.51420478820801,19.43194221496582,6120,2000
human_reference_oracle,open_model_self_refine,squared_ordinal_error,human_reference_oracle,200,1.92,1.61,2.245,6120,2000
human_reference_oracle,open_model_three_shot,exact_match,human_reference_oracle,200,0.425,0.335,0.515,6120,2000
human_reference_oracle,open_model_three_shot,meaningbert_source,human_reference_oracle,200,-4.096136064529419,-5.940705728530884,-2.2292972946166993,6120,2000
human_reference_oracle,open_model_three_shot,meaningbert_reference,human_reference_oracle,200,17.924952621459962,16.349947452545166,19.45004669189453,6120,2000
human_reference_oracle,open_model_three_shot,squared_ordinal_error,human_reference_oracle,200,1.71,1.41,2.025,6120,2000
human_reference_oracle,open_model_zero_shot,exact_match,human_reference_oracle,200,0.46,0.375,0.54,6120,2000
human_reference_oracle,open_model_zero_shot,meaningbert_source,human_reference_oracle,200,-1.9071109199523926,-3.531301612854004,-0.3218730926513672,6120,2000
human_reference_oracle,open_model_zero_shot,meaningbert_reference,human_reference_oracle,200,18.1227445602417,16.63670063018799,19.55710912704468,6120,2000
human_reference_oracle,open_model_zero_shot,squared_ordinal_error,human_reference_oracle,200,1.955,1.635,2.275,6120,2000
identity,open_model_self_refine,exact_match,identity,200,0.09,0.025,0.155,6120,2000
identity,open_model_self_refine,meaningbert_source,identity,200,11.622866439819337,10.313306198120117,12.934421653747558,6120,2000
identity,open_model_self_refine,meaningbert_reference,identity,200,5.052737188339234,3.7873510265350343,6.3219708061218265,6120,2000
identity,open_model_self_refine,squared_ordinal_error,identity,200,0.535,0.285,0.79,6120,2000
identity,open_model_three_shot,exact_match,identity,200,0.065,0.005,0.125,6120,2000
identity,open_model_three_shot,meaningbert_source,identity,200,9.526963396072388,8.060241460800171,11.031452655792236,6120,2000
identity,open_model_three_shot,meaningbert_reference,identity,200,4.970436143875122,3.491477537155151,6.381389980316162,6120,2000
identity,open_model_three_shot,squared_ordinal_error,identity,200,0.325,0.055,0.61,6120,2000
identity,open_model_zero_shot,exact_match,identity,200,0.1,0.035,0.165,6120,2000
identity,open_model_zero_shot,meaningbert_source,identity,200,11.715988540649414,10.391060791015626,13.017637672424316,6120,2000
identity,open_model_zero_shot,meaningbert_reference,identity,200,5.16822808265686,3.8970572471618654,6.4610926628112795,6120,2000
identity,open_model_zero_shot,squared_ordinal_error,identity,200,0.57,0.315,0.825,6120,2000
open_model_self_refine,open_model_three_shot,exact_match,open_model_self_refine,200,-0.025,-0.09,0.035,6120,2000
open_model_self_refine,open_model_three_shot,meaningbert_source,open_model_self_refine,200,-2.095903043746948,-3.579792003631592,-0.5248518562316895,6120,2000
open_model_self_refine,open_model_three_shot,meaningbert_reference,open_model_self_refine,200,-0.08230104446411132,-1.3751275634765625,1.1937467002868651,6120,2000
open_model_self_refine,open_model_three_shot,squared_ordinal_error,open_model_self_refine,200,-0.21,-0.485,0.095,6120,2000
open_model_self_refine,open_model_zero_shot,exact_match,open_model_self_refine,200,0.01,-0.02,0.04,6120,2000
open_model_self_refine,open_model_zero_shot,meaningbert_source,open_model_self_refine,200,0.09312210083007813,-0.2542623519897461,0.4366530609130859,6120,2000
open_model_self_refine,open_model_zero_shot,meaningbert_reference,open_model_self_refine,200,0.11549089431762695,-0.18918928146362304,0.43653871536254885,6120,2000
open_model_self_refine,open_model_zero_shot,squared_ordinal_error,open_model_self_refine,200,0.035,-0.09,0.16,6120,2000
open_model_three_shot,open_model_zero_shot,exact_match,open_model_three_shot,200,0.035,-0.025,0.1,6120,2000
open_model_three_shot,open_model_zero_shot,meaningbert_source,open_model_three_shot,200,2.1890251445770263,0.6440920639038086,3.6868340301513673,6120,2000
open_model_three_shot,open_model_zero_shot,meaningbert_reference,open_model_three_shot,200,0.19779193878173829,-1.0986394500732422,1.5431816291809082,6120,2000
open_model_three_shot,open_model_zero_shot,squared_ordinal_error,open_model_three_shot,200,0.245,-0.035,0.5,6120,2000
